"statistic, pvalue, row is better than column",best set: template_2,template_16,template_8,template_4,template_6,template_10,template_18,template_38,template_36,template_30,template_12,template_40,template_28,template_3,template_32,template_34,template_5,template_7,template_9,template_11,template_17,template_31,template_46,template_48,template_37,template_19,template_13,template_35,template_14,template_15,template_0,template_44,template_1,template_29,template_33,template_41,template_39,template_45,template_47,template_49,template_42,template_43,group,accuracy
template_15,"30.00, 0.00, False","29.00, 0.00, False","30.00, 0.00, False","32.00, 0.01, False","36.00, 0.01, False","33.00, 0.01, False","33.00, 0.01, False","34.00, 0.02, False","38.00, 0.04, False","34.00, 0.04, False","37.00, 0.09, False","40.00, 0.13, False","39.00, 0.15, False","31.00, 0.14, False","43.00, 0.23, False","42.00, 0.26, False","17.00, 0.14, False","21.00, 0.17, False","21.00, 0.32, False","16.00, 0.27, False","34.00, 0.56, False","35.00, 0.57, False","47.00, 0.62, False","50.00, 0.77, False","30.00, 0.80, False","13.00, 0.85, False","20.00, 1.00, False","31.00, 1.00, False","44.00, 1.00, True",None,"44.00, 1.00, None","50.00, 1.00, None","11.00, 1.00, True","28.00, 1.00, True","27.00, 0.89, True","20.00, 0.88, True","23.00, 0.41, True","44.00, 0.48, True","44.00, 0.42, True","12.00, 0.46, True","44.00, 0.14, True","35.00, 0.07, True",C,0.545
template_0,"19.00, 0.00, False","17.00, 0.00, False","11.00, 0.00, False","14.00, 0.00, False","17.00, 0.00, False","12.00, 0.00, False","16.00, 0.00, False","14.00, 0.00, False","19.00, 0.01, False","24.00, 0.02, False","16.00, 0.02, False","16.00, 0.03, False","21.00, 0.06, False","44.00, 0.20, False","24.00, 0.12, False","25.00, 0.16, False","45.00, 0.32, False","47.00, 0.33, False","43.00, 0.47, False","40.00, 0.46, False","44.00, 0.61, False","50.00, 0.63, False","37.00, 0.58, False","38.00, 0.74, False","46.00, 0.84, False","33.00, 1.00, True","42.00, 1.00, False","51.00, 1.00, False","14.00, 1.00, True","44.00, 1.00, True",None,"47.00, 1.00, None","45.00, 1.00, True","51.00, 1.00, True","49.00, 0.92, True","41.00, 0.91, True","44.00, 0.54, True","53.00, 0.51, True","53.00, 0.46, True","13.00, 0.85, False","35.00, 0.11, True","43.00, 0.10, True",C,0.545
template_44,"14.00, 0.00, False","17.00, 0.00, False","27.00, 0.00, False","22.00, 0.00, False","25.00, 0.00, False","35.00, 0.02, False","28.00, 0.01, False","30.00, 0.02, False","30.00, 0.03, False","21.00, 0.02, False","36.00, 0.09, False","42.00, 0.13, False","34.00, 0.12, False","45.00, 0.20, False","37.00, 0.20, False","36.00, 0.23, False","47.00, 0.33, False","48.00, 0.33, False","47.00, 0.49, False","46.00, 0.48, False","46.00, 0.61, False","48.00, 0.62, False","19.00, 0.45, False","16.00, 0.62, False","47.00, 0.84, False","33.00, 0.64, True","51.00, 1.00, False","52.00, 1.00, False","51.00, 1.00, True","50.00, 1.00, True","47.00, 1.00, True",None,"53.00, 1.00, True","49.00, 1.00, True","53.00, 0.92, True","49.00, 0.92, True","50.00, 0.56, True","46.00, 0.48, True","47.00, 0.43, True","12.00, 0.36, True","26.00, 0.07, True","49.00, 0.11, True",C,0.545
template_1,"34.00, 0.00, False","34.00, 0.00, False","32.00, 0.00, False","35.00, 0.01, False","37.00, 0.01, False","36.00, 0.01, False","35.00, 0.01, False","35.00, 0.02, False","40.00, 0.04, False","37.00, 0.04, False","39.00, 0.08, False","41.00, 0.11, False","42.00, 0.13, False","27.00, 0.09, False","44.00, 0.20, False","44.00, 0.23, False","19.00, 0.12, False","22.00, 0.14, False","19.00, 0.24, False","15.00, 0.20, False","29.00, 0.46, False","32.00, 0.48, False","49.00, 0.56, False","51.00, 0.70, False","28.00, 0.70, False","18.00, 0.75, False","17.00, 0.87, False","32.00, 0.90, False","48.00, 1.00, False","11.00, 1.00, False","45.00, 1.00, False","53.00, 1.00, False",None,"29.00, 1.00, None","30.00, 1.00, True","22.00, 1.00, True","23.00, 0.49, True","41.00, 0.53, True","41.00, 0.46, True","12.00, 1.00, True","48.00, 0.18, True","31.00, 0.07, True",C,0.542
template_29,"34.00, 0.00, False","31.00, 0.00, False","37.00, 0.01, False","32.00, 0.00, False","37.00, 0.01, False","39.00, 0.02, False","35.00, 0.01, False","37.00, 0.02, False","40.00, 0.04, False","34.00, 0.03, False","39.00, 0.08, False","42.00, 0.11, False","39.00, 0.12, False","20.00, 0.06, False","38.00, 0.17, False","41.00, 0.22, False","14.00, 0.08, False","14.00, 0.08, False","14.00, 0.19, False","21.00, 0.26, False","20.00, 0.38, False","17.00, 0.35, False","45.00, 0.54, False","46.00, 0.68, False","18.00, 0.64, False","11.00, 0.84, False","23.00, 0.89, False","17.00, 0.87, False","48.00, 1.00, False","28.00, 1.00, False","51.00, 1.00, False","49.00, 1.00, False","29.00, 1.00, True",None,"21.00, 1.00, True","20.00, 1.00, True","16.00, 0.42, True","29.00, 0.46, True","30.00, 0.40, True","8.00, 0.81, False","50.00, 0.19, True","35.00, 0.09, True",C,0.542
template_33,"37.00, 0.00, False","33.00, 0.00, False","39.00, 0.01, False","39.00, 0.01, False","43.00, 0.01, False","42.00, 0.02, False","40.00, 0.01, False","38.00, 0.02, False","42.00, 0.03, False","39.00, 0.04, False","43.00, 0.08, False","41.00, 0.09, False","44.00, 0.12, False","26.00, 0.07, False","42.00, 0.16, False","45.00, 0.20, False","10.00, 0.04, False","12.00, 0.05, False","21.00, 0.21, False","23.00, 0.23, False","26.00, 0.37, False","24.00, 0.35, False","49.00, 0.50, False","52.00, 0.63, False","20.00, 0.55, False","14.00, 0.86, False","21.00, 0.77, False","15.00, 0.73, False","48.00, 0.92, False","27.00, 0.89, False","49.00, 0.92, False","53.00, 0.92, False","30.00, 1.00, False","21.00, 1.00, False",None,"21.00, 1.00, None","20.00, 0.55, True","37.00, 0.58, True","34.00, 0.49, True","12.00, 1.00, None","52.00, 0.23, True","34.00, 0.10, True",C,0.539
template_41,"30.00, 0.00, False","27.00, 0.00, False","29.00, 0.00, False","30.00, 0.00, False","33.00, 0.01, False","31.00, 0.01, False","32.00, 0.01, False","29.00, 0.01, False","34.00, 0.02, False","31.00, 0.02, False","32.00, 0.05, False","32.00, 0.06, False","34.00, 0.08, False","24.00, 0.06, False","35.00, 0.13, False","38.00, 0.17, False","15.00, 0.07, False","17.00, 0.08, False","18.00, 0.18, False","16.00, 0.16, False","25.00, 0.36, False","24.00, 0.35, False","46.00, 0.48, False","45.00, 0.61, False","19.00, 0.54, False","13.00, 0.85, False","14.00, 0.72, False","20.00, 0.76, False","41.00, 0.91, False","20.00, 0.88, False","41.00, 0.91, False","49.00, 0.92, False","22.00, 1.00, False","20.00, 1.00, False","21.00, 1.00, True",None,"12.00, 0.46, True","36.00, 0.57, True","36.00, 0.50, True","10.00, 1.00, False","47.00, 0.21, True","32.00, 0.09, True",C,0.539
template_39,"31.00, 0.00, False","29.00, 0.00, False","32.00, 0.00, False","33.00, 0.00, False","34.00, 0.00, False","31.00, 0.00, False","34.00, 0.00, False","31.00, 0.00, False","38.00, 0.01, False","34.00, 0.01, False","35.00, 0.02, False","32.00, 0.02, False","36.00, 0.03, False","18.00, 0.01, False","40.00, 0.06, False","43.00, 0.08, False","18.00, 0.02, False","19.00, 0.02, False","16.00, 0.04, False","14.00, 0.03, False","20.00, 0.10, False","14.00, 0.06, False","47.00, 0.25, False","49.00, 0.34, False","11.00, 0.11, False","13.00, 0.30, False","16.00, 0.27, False","17.00, 0.28, False","44.00, 0.54, False","23.00, 0.41, False","44.00, 0.54, False","50.00, 0.56, False","23.00, 0.49, False","16.00, 0.42, False","20.00, 0.55, False","12.00, 0.46, False",None,"39.00, 1.00, True","40.00, 0.91, True","10.00, 1.00, None","53.00, 0.46, True","37.00, 0.28, True",C,0.523
template_45,"31.00, 0.00, False","30.00, 0.00, False","40.00, 0.00, False","33.00, 0.00, False","38.00, 0.00, False","38.00, 0.00, False","35.00, 0.00, False","35.00, 0.00, False","41.00, 0.01, False","35.00, 0.01, False","39.00, 0.02, False","40.00, 0.02, False","44.00, 0.04, False","15.00, 0.00, False","38.00, 0.04, False","41.00, 0.06, False","30.00, 0.04, False","28.00, 0.04, False","25.00, 0.06, False","32.00, 0.09, False","22.00, 0.09, False","20.00, 0.08, False","43.00, 0.19, False","45.00, 0.28, False","28.00, 0.22, False","22.00, 0.57, False","36.00, 0.37, False","33.00, 0.36, False","50.00, 0.50, False","44.00, 0.48, False","53.00, 0.51, False","46.00, 0.48, False","41.00, 0.53, False","29.00, 0.46, False","37.00, 0.58, False","36.00, 0.57, False","39.00, 1.00, False",None,"17.00, 1.00, True","3.00, 0.73, False","53.00, 0.51, True","27.00, 0.26, True",C,0.519
template_47,"33.00, 0.00, False","31.00, 0.00, False","40.00, 0.00, False","36.00, 0.00, False","40.00, 0.00, False","41.00, 0.00, False","38.00, 0.00, False","39.00, 0.00, False","43.00, 0.01, False","39.00, 0.01, False","42.00, 0.02, False","40.00, 0.02, False","47.00, 0.03, False","22.00, 0.01, False","40.00, 0.04, False","43.00, 0.05, False","28.00, 0.03, False","24.00, 0.02, False","27.00, 0.06, False","34.00, 0.08, False","29.00, 0.10, False","28.00, 0.10, False","44.00, 0.17, False","45.00, 0.24, False","28.00, 0.18, False","21.00, 0.47, False","34.00, 0.31, False","33.00, 0.30, False","52.00, 0.45, False","44.00, 0.42, False","53.00, 0.46, False","47.00, 0.43, False","41.00, 0.46, False","30.00, 0.40, False","34.00, 0.49, False","36.00, 0.50, False","40.00, 0.91, False","17.00, 1.00, False",None,"2.00, 0.18, False","51.00, 0.57, True","22.00, 0.27, True",C,0.516
template_49,"9.00, 0.09, False","9.00, 0.23, False","11.00, 0.34, False","9.00, 0.09, False","10.00, 0.18, False","9.00, 0.04, False","9.00, 0.17, False","10.00, 0.33, False","11.00, 0.34, False","10.00, 0.42, False","9.00, 0.23, False","12.00, 0.70, False","11.00, 0.84, False","6.00, 0.33, False","13.00, 1.00, True","9.00, 0.52, False","10.00, 0.83, False","10.00, 1.00, True","7.00, 0.80, False","8.00, 0.29, False","9.00, 0.66, False","8.00, 0.81, False","10.00, 0.18, False","13.00, 0.58, False","7.00, 1.00, False","10.00, 0.83, True","12.00, 0.85, False","10.00, 1.00, True","14.00, 1.00, True","12.00, 0.46, False","13.00, 0.85, True","12.00, 0.36, False","12.00, 1.00, False","8.00, 0.81, True","12.00, 1.00, True","10.00, 1.00, True","10.00, 1.00, True","3.00, 0.73, True","2.00, 0.18, True",None,"17.00, 0.52, False","7.00, 0.63, True",A,0.511
template_42,"22.00, 0.00, False","24.00, 0.00, False","25.00, 0.00, False","22.00, 0.00, False","27.00, 0.00, False","30.00, 0.00, False","26.00, 0.00, False","30.00, 0.00, False","29.00, 0.00, False","27.00, 0.00, False","31.00, 0.00, False","36.00, 0.00, False","31.00, 0.00, False","44.00, 0.01, False","32.00, 0.00, False","37.00, 0.01, False","44.00, 0.01, False","44.00, 0.01, False","43.00, 0.03, False","42.00, 0.03, False","46.00, 0.05, False","47.00, 0.05, False","17.00, 0.00, False","18.00, 0.01, False","45.00, 0.08, False","38.00, 0.91, False","44.00, 0.12, False","47.00, 0.13, False","36.00, 0.11, False","44.00, 0.14, False","35.00, 0.11, False","26.00, 0.07, False","48.00, 0.18, False","50.00, 0.19, False","52.00, 0.23, False","47.00, 0.21, False","53.00, 0.46, False","53.00, 0.51, False","51.00, 0.57, False","17.00, 0.52, True",None,"51.00, 0.92, True",C,0.494
template_43,"32.00, 0.00, False","30.00, 0.00, False","35.00, 0.00, False","34.00, 0.00, False","36.00, 0.00, False","38.00, 0.00, False","37.00, 0.00, False","34.00, 0.00, False","39.00, 0.00, False","37.00, 0.00, False","40.00, 0.00, False","40.00, 0.00, False","45.00, 0.00, False","30.00, 0.00, False","42.00, 0.00, False","45.00, 0.01, False","30.00, 0.00, False","28.00, 0.00, False","29.00, 0.01, False","33.00, 0.01, False","34.00, 0.02, False","31.00, 0.01, False","46.00, 0.03, False","45.00, 0.05, False","31.00, 0.03, False","25.00, 0.36, False","32.00, 0.05, False","37.00, 0.06, False","47.00, 0.11, False","35.00, 0.07, False","43.00, 0.10, False","49.00, 0.11, False","31.00, 0.07, False","35.00, 0.09, False","34.00, 0.10, False","32.00, 0.09, False","37.00, 0.28, False","27.00, 0.26, False","22.00, 0.27, False","7.00, 0.63, False","51.00, 0.92, False",None,D,0.487
