,Run,Model,Groups,Adapter method,Subject / Task
642,"natural_qa:mode=closedbook,model=cohere_command-light",cohere/command-light,natural_qa_closedbook,generation,-
643,"natural_qa:mode=closedbook,model=google_text-bison@001",google/text-bison@001,natural_qa_closedbook,generation,-
644,"natural_qa:mode=closedbook,model=google_text-unicorn@001",google/text-unicorn@001,natural_qa_closedbook,generation,-
645,"natural_qa:mode=closedbook,model=meta_llama-2-13b",meta/llama-2-13b,natural_qa_closedbook,generation,-
646,"natural_qa:mode=closedbook,model=meta_llama-2-70b",meta/llama-2-70b,natural_qa_closedbook,generation,-
647,"natural_qa:mode=closedbook,model=meta_llama-2-7b",meta/llama-2-7b,natural_qa_closedbook,generation,-
648,"natural_qa:mode=closedbook,model=meta_llama-65b",meta/llama-65b,natural_qa_closedbook,generation,-
649,"natural_qa:mode=closedbook,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,natural_qa_closedbook,generation,-
650,"natural_qa:mode=closedbook,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,natural_qa_closedbook,generation,-
651,"natural_qa:mode=closedbook,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,natural_qa_closedbook,generation,-
652,"natural_qa:mode=closedbook,model=openai_gpt-4-0613",openai/gpt-4-0613,natural_qa_closedbook,generation,-
653,"natural_qa:mode=closedbook,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,natural_qa_closedbook,generation,-
654,"natural_qa:mode=closedbook,model=openai_text-davinci-002",openai/text-davinci-002,natural_qa_closedbook,generation,-
655,"natural_qa:mode=closedbook,model=openai_text-davinci-003",openai/text-davinci-003,natural_qa_closedbook,generation,-
656,"natural_qa:mode=closedbook,model=tiiuae_falcon-40b",tiiuae/falcon-40b,natural_qa_closedbook,generation,-
657,"natural_qa:mode=closedbook,model=tiiuae_falcon-7b",tiiuae/falcon-7b,natural_qa_closedbook,generation,-
658,"natural_qa:mode=closedbook,model=writer_palmyra-x-v2",writer/palmyra-x-v2,natural_qa_closedbook,generation,-
659,"natural_qa:mode=closedbook,model=writer_palmyra-x-v3",writer/palmyra-x-v3,natural_qa_closedbook,generation,-
660,"natural_qa:mode=openbook_longans,model=01-ai_yi-34b",01-ai/yi-34b,natural_qa_openbook_longans,generation,-
661,"natural_qa:mode=openbook_longans,model=01-ai_yi-6b",01-ai/yi-6b,natural_qa_openbook_longans,generation,-
662,"natural_qa:mode=openbook_longans,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,natural_qa_openbook_longans,generation,-
663,"natural_qa:mode=openbook_longans,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,natural_qa_openbook_longans,generation,-
664,"natural_qa:mode=openbook_longans,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,natural_qa_openbook_longans,generation,-
665,"natural_qa:mode=openbook_longans,model=ai21_j2-grande",ai21/j2-grande,natural_qa_openbook_longans,generation,-
666,"natural_qa:mode=openbook_longans,model=ai21_j2-jumbo",ai21/j2-jumbo,natural_qa_openbook_longans,generation,-
667,"natural_qa:mode=openbook_longans,model=anthropic_claude-2.0",anthropic/claude-2.0,natural_qa_openbook_longans,generation,-
668,"natural_qa:mode=openbook_longans,model=anthropic_claude-2.1",anthropic/claude-2.1,natural_qa_openbook_longans,generation,-
669,"natural_qa:mode=openbook_longans,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,natural_qa_openbook_longans,generation,-
670,"natural_qa:mode=openbook_longans,model=anthropic_claude-v1.3",anthropic/claude-v1.3,natural_qa_openbook_longans,generation,-
671,"natural_qa:mode=openbook_longans,model=cohere_command",cohere/command,natural_qa_openbook_longans,generation,-
672,"natural_qa:mode=openbook_longans,model=cohere_command-light",cohere/command-light,natural_qa_openbook_longans,generation,-
673,"natural_qa:mode=openbook_longans,model=google_text-bison@001",google/text-bison@001,natural_qa_openbook_longans,generation,-
674,"natural_qa:mode=openbook_longans,model=google_text-unicorn@001",google/text-unicorn@001,natural_qa_openbook_longans,generation,-
675,"natural_qa:mode=openbook_longans,model=meta_llama-2-13b",meta/llama-2-13b,natural_qa_openbook_longans,generation,-
676,"natural_qa:mode=openbook_longans,model=meta_llama-2-70b",meta/llama-2-70b,natural_qa_openbook_longans,generation,-
677,"natural_qa:mode=openbook_longans,model=meta_llama-2-7b",meta/llama-2-7b,natural_qa_openbook_longans,generation,-
678,"natural_qa:mode=openbook_longans,model=meta_llama-65b",meta/llama-65b,natural_qa_openbook_longans,generation,-
679,"natural_qa:mode=openbook_longans,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,natural_qa_openbook_longans,generation,-
680,"natural_qa:mode=openbook_longans,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,natural_qa_openbook_longans,generation,-
681,"natural_qa:mode=openbook_longans,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,natural_qa_openbook_longans,generation,-
682,"natural_qa:mode=openbook_longans,model=openai_gpt-4-0613",openai/gpt-4-0613,natural_qa_openbook_longans,generation,-
683,"natural_qa:mode=openbook_longans,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,natural_qa_openbook_longans,generation,-
684,"natural_qa:mode=openbook_longans,model=openai_text-davinci-002",openai/text-davinci-002,natural_qa_openbook_longans,generation,-
685,"natural_qa:mode=openbook_longans,model=openai_text-davinci-003",openai/text-davinci-003,natural_qa_openbook_longans,generation,-
686,"natural_qa:mode=openbook_longans,model=tiiuae_falcon-40b",tiiuae/falcon-40b,natural_qa_openbook_longans,generation,-
687,"natural_qa:mode=openbook_longans,model=tiiuae_falcon-7b",tiiuae/falcon-7b,natural_qa_openbook_longans,generation,-
688,"natural_qa:mode=openbook_longans,model=writer_palmyra-x-v2",writer/palmyra-x-v2,natural_qa_openbook_longans,generation,-
689,"natural_qa:mode=openbook_longans,model=writer_palmyra-x-v3",writer/palmyra-x-v3,natural_qa_openbook_longans,generation,-
690,"wmt_14:language_pair=cs-en,model=01-ai_yi-34b",01-ai/yi-34b,wmt_14,generation,-
691,"wmt_14:language_pair=cs-en,model=01-ai_yi-6b",01-ai/yi-6b,wmt_14,generation,-
692,"wmt_14:language_pair=cs-en,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,wmt_14,generation,-
693,"wmt_14:language_pair=cs-en,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,wmt_14,generation,-
694,"wmt_14:language_pair=cs-en,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,wmt_14,generation,-
695,"wmt_14:language_pair=cs-en,model=ai21_j2-grande",ai21/j2-grande,wmt_14,generation,-
696,"wmt_14:language_pair=cs-en,model=ai21_j2-jumbo",ai21/j2-jumbo,wmt_14,generation,-
697,"wmt_14:language_pair=cs-en,model=anthropic_claude-2.0",anthropic/claude-2.0,wmt_14,generation,-
698,"wmt_14:language_pair=cs-en,model=anthropic_claude-2.1",anthropic/claude-2.1,wmt_14,generation,-
699,"wmt_14:language_pair=cs-en,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,wmt_14,generation,-
700,"wmt_14:language_pair=cs-en,model=anthropic_claude-v1.3",anthropic/claude-v1.3,wmt_14,generation,-
701,"wmt_14:language_pair=cs-en,model=cohere_command",cohere/command,wmt_14,generation,-
702,"wmt_14:language_pair=cs-en,model=cohere_command-light",cohere/command-light,wmt_14,generation,-
703,"wmt_14:language_pair=cs-en,model=google_text-bison@001",google/text-bison@001,wmt_14,generation,-
704,"wmt_14:language_pair=cs-en,model=google_text-unicorn@001",google/text-unicorn@001,wmt_14,generation,-
705,"wmt_14:language_pair=cs-en,model=meta_llama-2-13b",meta/llama-2-13b,wmt_14,generation,-
706,"wmt_14:language_pair=cs-en,model=meta_llama-2-70b",meta/llama-2-70b,wmt_14,generation,-
707,"wmt_14:language_pair=cs-en,model=meta_llama-2-7b",meta/llama-2-7b,wmt_14,generation,-
708,"wmt_14:language_pair=cs-en,model=meta_llama-65b",meta/llama-65b,wmt_14,generation,-
709,"wmt_14:language_pair=cs-en,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,wmt_14,generation,-
710,"wmt_14:language_pair=cs-en,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,wmt_14,generation,-
711,"wmt_14:language_pair=cs-en,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,wmt_14,generation,-
712,"wmt_14:language_pair=cs-en,model=openai_gpt-4-0613",openai/gpt-4-0613,wmt_14,generation,-
713,"wmt_14:language_pair=cs-en,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,wmt_14,generation,-
714,"wmt_14:language_pair=cs-en,model=openai_text-davinci-002",openai/text-davinci-002,wmt_14,generation,-
715,"wmt_14:language_pair=cs-en,model=openai_text-davinci-003",openai/text-davinci-003,wmt_14,generation,-
716,"wmt_14:language_pair=cs-en,model=tiiuae_falcon-40b",tiiuae/falcon-40b,wmt_14,generation,-
717,"wmt_14:language_pair=cs-en,model=tiiuae_falcon-7b",tiiuae/falcon-7b,wmt_14,generation,-
718,"wmt_14:language_pair=cs-en,model=writer_palmyra-x-v2",writer/palmyra-x-v2,wmt_14,generation,-
719,"wmt_14:language_pair=cs-en,model=writer_palmyra-x-v3",writer/palmyra-x-v3,wmt_14,generation,-
720,"wmt_14:language_pair=de-en,model=01-ai_yi-34b",01-ai/yi-34b,wmt_14,generation,-
721,"wmt_14:language_pair=de-en,model=01-ai_yi-6b",01-ai/yi-6b,wmt_14,generation,-
722,"wmt_14:language_pair=de-en,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,wmt_14,generation,-
723,"wmt_14:language_pair=de-en,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,wmt_14,generation,-
724,"wmt_14:language_pair=de-en,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,wmt_14,generation,-
725,"wmt_14:language_pair=de-en,model=ai21_j2-grande",ai21/j2-grande,wmt_14,generation,-
726,"wmt_14:language_pair=de-en,model=ai21_j2-jumbo",ai21/j2-jumbo,wmt_14,generation,-
727,"wmt_14:language_pair=de-en,model=anthropic_claude-2.0",anthropic/claude-2.0,wmt_14,generation,-
728,"wmt_14:language_pair=de-en,model=anthropic_claude-2.1",anthropic/claude-2.1,wmt_14,generation,-
729,"wmt_14:language_pair=de-en,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,wmt_14,generation,-
730,"wmt_14:language_pair=de-en,model=anthropic_claude-v1.3",anthropic/claude-v1.3,wmt_14,generation,-
731,"wmt_14:language_pair=de-en,model=cohere_command",cohere/command,wmt_14,generation,-
732,"wmt_14:language_pair=de-en,model=cohere_command-light",cohere/command-light,wmt_14,generation,-
733,"wmt_14:language_pair=de-en,model=google_text-bison@001",google/text-bison@001,wmt_14,generation,-
734,"wmt_14:language_pair=de-en,model=google_text-unicorn@001",google/text-unicorn@001,wmt_14,generation,-
735,"wmt_14:language_pair=de-en,model=meta_llama-2-13b",meta/llama-2-13b,wmt_14,generation,-
736,"wmt_14:language_pair=de-en,model=meta_llama-2-70b",meta/llama-2-70b,wmt_14,generation,-
737,"wmt_14:language_pair=de-en,model=meta_llama-2-7b",meta/llama-2-7b,wmt_14,generation,-
738,"wmt_14:language_pair=de-en,model=meta_llama-65b",meta/llama-65b,wmt_14,generation,-
739,"wmt_14:language_pair=de-en,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,wmt_14,generation,-
740,"wmt_14:language_pair=de-en,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,wmt_14,generation,-
741,"wmt_14:language_pair=de-en,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,wmt_14,generation,-
742,"wmt_14:language_pair=de-en,model=openai_gpt-4-0613",openai/gpt-4-0613,wmt_14,generation,-
743,"wmt_14:language_pair=de-en,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,wmt_14,generation,-
744,"wmt_14:language_pair=de-en,model=openai_text-davinci-002",openai/text-davinci-002,wmt_14,generation,-
745,"wmt_14:language_pair=de-en,model=openai_text-davinci-003",openai/text-davinci-003,wmt_14,generation,-
746,"wmt_14:language_pair=de-en,model=tiiuae_falcon-40b",tiiuae/falcon-40b,wmt_14,generation,-
747,"wmt_14:language_pair=de-en,model=tiiuae_falcon-7b",tiiuae/falcon-7b,wmt_14,generation,-
748,"wmt_14:language_pair=de-en,model=writer_palmyra-x-v2",writer/palmyra-x-v2,wmt_14,generation,-
749,"wmt_14:language_pair=de-en,model=writer_palmyra-x-v3",writer/palmyra-x-v3,wmt_14,generation,-
750,"wmt_14:language_pair=fr-en,model=01-ai_yi-34b",01-ai/yi-34b,wmt_14,generation,-
751,"wmt_14:language_pair=fr-en,model=01-ai_yi-6b",01-ai/yi-6b,wmt_14,generation,-
752,"wmt_14:language_pair=fr-en,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,wmt_14,generation,-
753,"wmt_14:language_pair=fr-en,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,wmt_14,generation,-
754,"wmt_14:language_pair=fr-en,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,wmt_14,generation,-
755,"wmt_14:language_pair=fr-en,model=ai21_j2-grande",ai21/j2-grande,wmt_14,generation,-
756,"wmt_14:language_pair=fr-en,model=ai21_j2-jumbo",ai21/j2-jumbo,wmt_14,generation,-
757,"wmt_14:language_pair=fr-en,model=anthropic_claude-2.0",anthropic/claude-2.0,wmt_14,generation,-
758,"wmt_14:language_pair=fr-en,model=anthropic_claude-2.1",anthropic/claude-2.1,wmt_14,generation,-
759,"wmt_14:language_pair=fr-en,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,wmt_14,generation,-
760,"wmt_14:language_pair=fr-en,model=anthropic_claude-v1.3",anthropic/claude-v1.3,wmt_14,generation,-
761,"wmt_14:language_pair=fr-en,model=cohere_command",cohere/command,wmt_14,generation,-
762,"wmt_14:language_pair=fr-en,model=cohere_command-light",cohere/command-light,wmt_14,generation,-
763,"wmt_14:language_pair=fr-en,model=google_text-bison@001",google/text-bison@001,wmt_14,generation,-
764,"wmt_14:language_pair=fr-en,model=google_text-unicorn@001",google/text-unicorn@001,wmt_14,generation,-
765,"wmt_14:language_pair=fr-en,model=meta_llama-2-13b",meta/llama-2-13b,wmt_14,generation,-
766,"wmt_14:language_pair=fr-en,model=meta_llama-2-70b",meta/llama-2-70b,wmt_14,generation,-
767,"wmt_14:language_pair=fr-en,model=meta_llama-2-7b",meta/llama-2-7b,wmt_14,generation,-
768,"wmt_14:language_pair=fr-en,model=meta_llama-65b",meta/llama-65b,wmt_14,generation,-
769,"wmt_14:language_pair=fr-en,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,wmt_14,generation,-
770,"wmt_14:language_pair=fr-en,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,wmt_14,generation,-
771,"wmt_14:language_pair=fr-en,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,wmt_14,generation,-
772,"wmt_14:language_pair=fr-en,model=openai_gpt-4-0613",openai/gpt-4-0613,wmt_14,generation,-
773,"wmt_14:language_pair=fr-en,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,wmt_14,generation,-
774,"wmt_14:language_pair=fr-en,model=openai_text-davinci-002",openai/text-davinci-002,wmt_14,generation,-
775,"wmt_14:language_pair=fr-en,model=openai_text-davinci-003",openai/text-davinci-003,wmt_14,generation,-
776,"wmt_14:language_pair=fr-en,model=tiiuae_falcon-40b",tiiuae/falcon-40b,wmt_14,generation,-
777,"wmt_14:language_pair=fr-en,model=tiiuae_falcon-7b",tiiuae/falcon-7b,wmt_14,generation,-
778,"wmt_14:language_pair=fr-en,model=writer_palmyra-x-v2",writer/palmyra-x-v2,wmt_14,generation,-
779,"wmt_14:language_pair=fr-en,model=writer_palmyra-x-v3",writer/palmyra-x-v3,wmt_14,generation,-
780,"wmt_14:language_pair=hi-en,model=01-ai_yi-34b",01-ai/yi-34b,wmt_14,generation,-
781,"wmt_14:language_pair=hi-en,model=01-ai_yi-6b",01-ai/yi-6b,wmt_14,generation,-
782,"wmt_14:language_pair=hi-en,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,wmt_14,generation,-
783,"wmt_14:language_pair=hi-en,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,wmt_14,generation,-
784,"wmt_14:language_pair=hi-en,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,wmt_14,generation,-
785,"wmt_14:language_pair=hi-en,model=ai21_j2-grande",ai21/j2-grande,wmt_14,generation,-
786,"wmt_14:language_pair=hi-en,model=ai21_j2-jumbo",ai21/j2-jumbo,wmt_14,generation,-
787,"wmt_14:language_pair=hi-en,model=anthropic_claude-2.0",anthropic/claude-2.0,wmt_14,generation,-
788,"wmt_14:language_pair=hi-en,model=anthropic_claude-2.1",anthropic/claude-2.1,wmt_14,generation,-
789,"wmt_14:language_pair=hi-en,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,wmt_14,generation,-
790,"wmt_14:language_pair=hi-en,model=anthropic_claude-v1.3",anthropic/claude-v1.3,wmt_14,generation,-
791,"wmt_14:language_pair=hi-en,model=cohere_command",cohere/command,wmt_14,generation,-
792,"wmt_14:language_pair=hi-en,model=cohere_command-light",cohere/command-light,wmt_14,generation,-
793,"wmt_14:language_pair=hi-en,model=google_text-bison@001",google/text-bison@001,wmt_14,generation,-
794,"wmt_14:language_pair=hi-en,model=google_text-unicorn@001",google/text-unicorn@001,wmt_14,generation,-
795,"wmt_14:language_pair=hi-en,model=meta_llama-2-13b",meta/llama-2-13b,wmt_14,generation,-
796,"wmt_14:language_pair=hi-en,model=meta_llama-2-70b",meta/llama-2-70b,wmt_14,generation,-
797,"wmt_14:language_pair=hi-en,model=meta_llama-2-7b",meta/llama-2-7b,wmt_14,generation,-
798,"wmt_14:language_pair=hi-en,model=meta_llama-65b",meta/llama-65b,wmt_14,generation,-
799,"wmt_14:language_pair=hi-en,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,wmt_14,generation,-
800,"wmt_14:language_pair=hi-en,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,wmt_14,generation,-
801,"wmt_14:language_pair=hi-en,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,wmt_14,generation,-
802,"wmt_14:language_pair=hi-en,model=openai_gpt-4-0613",openai/gpt-4-0613,wmt_14,generation,-
803,"wmt_14:language_pair=hi-en,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,wmt_14,generation,-
804,"wmt_14:language_pair=hi-en,model=openai_text-davinci-002",openai/text-davinci-002,wmt_14,generation,-
805,"wmt_14:language_pair=hi-en,model=openai_text-davinci-003",openai/text-davinci-003,wmt_14,generation,-
806,"wmt_14:language_pair=hi-en,model=tiiuae_falcon-40b",tiiuae/falcon-40b,wmt_14,generation,-
807,"wmt_14:language_pair=hi-en,model=tiiuae_falcon-7b",tiiuae/falcon-7b,wmt_14,generation,-
808,"wmt_14:language_pair=hi-en,model=writer_palmyra-x-v2",writer/palmyra-x-v2,wmt_14,generation,-
809,"wmt_14:language_pair=hi-en,model=writer_palmyra-x-v3",writer/palmyra-x-v3,wmt_14,generation,-
810,"wmt_14:language_pair=ru-en,model=01-ai_yi-34b",01-ai/yi-34b,wmt_14,generation,-
811,"wmt_14:language_pair=ru-en,model=01-ai_yi-6b",01-ai/yi-6b,wmt_14,generation,-
812,"wmt_14:language_pair=ru-en,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,wmt_14,generation,-
813,"wmt_14:language_pair=ru-en,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,wmt_14,generation,-
814,"wmt_14:language_pair=ru-en,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,wmt_14,generation,-
815,"wmt_14:language_pair=ru-en,model=ai21_j2-grande",ai21/j2-grande,wmt_14,generation,-
816,"wmt_14:language_pair=ru-en,model=ai21_j2-jumbo",ai21/j2-jumbo,wmt_14,generation,-
817,"wmt_14:language_pair=ru-en,model=anthropic_claude-2.0",anthropic/claude-2.0,wmt_14,generation,-
818,"wmt_14:language_pair=ru-en,model=anthropic_claude-2.1",anthropic/claude-2.1,wmt_14,generation,-
819,"wmt_14:language_pair=ru-en,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,wmt_14,generation,-
820,"wmt_14:language_pair=ru-en,model=anthropic_claude-v1.3",anthropic/claude-v1.3,wmt_14,generation,-
821,"wmt_14:language_pair=ru-en,model=cohere_command",cohere/command,wmt_14,generation,-
822,"wmt_14:language_pair=ru-en,model=cohere_command-light",cohere/command-light,wmt_14,generation,-
823,"wmt_14:language_pair=ru-en,model=google_text-bison@001",google/text-bison@001,wmt_14,generation,-
824,"wmt_14:language_pair=ru-en,model=google_text-unicorn@001",google/text-unicorn@001,wmt_14,generation,-
825,"wmt_14:language_pair=ru-en,model=meta_llama-2-13b",meta/llama-2-13b,wmt_14,generation,-
826,"wmt_14:language_pair=ru-en,model=meta_llama-2-70b",meta/llama-2-70b,wmt_14,generation,-
827,"wmt_14:language_pair=ru-en,model=meta_llama-2-7b",meta/llama-2-7b,wmt_14,generation,-
828,"wmt_14:language_pair=ru-en,model=meta_llama-65b",meta/llama-65b,wmt_14,generation,-
829,"wmt_14:language_pair=ru-en,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,wmt_14,generation,-
830,"wmt_14:language_pair=ru-en,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,wmt_14,generation,-
831,"wmt_14:language_pair=ru-en,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,wmt_14,generation,-
832,"wmt_14:language_pair=ru-en,model=openai_gpt-4-0613",openai/gpt-4-0613,wmt_14,generation,-
833,"wmt_14:language_pair=ru-en,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,wmt_14,generation,-
834,"wmt_14:language_pair=ru-en,model=openai_text-davinci-002",openai/text-davinci-002,wmt_14,generation,-
835,"wmt_14:language_pair=ru-en,model=openai_text-davinci-003",openai/text-davinci-003,wmt_14,generation,-
836,"wmt_14:language_pair=ru-en,model=tiiuae_falcon-40b",tiiuae/falcon-40b,wmt_14,generation,-
837,"wmt_14:language_pair=ru-en,model=tiiuae_falcon-7b",tiiuae/falcon-7b,wmt_14,generation,-
838,"wmt_14:language_pair=ru-en,model=writer_palmyra-x-v2",writer/palmyra-x-v2,wmt_14,generation,-
839,"wmt_14:language_pair=ru-en,model=writer_palmyra-x-v3",writer/palmyra-x-v3,wmt_14,generation,-
840,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,openbookqa,multiple_choice_joint,-
841,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,openbookqa,multiple_choice_joint,-
842,gsm:model=microsoft_phi-2,microsoft/phi-2,gsm,generation,-
843,gsm:model=mistralai_mistral-medium-2312,mistralai/mistral-medium-2312,gsm,generation,-
844,"legalbench:subset=abercrombie,model=microsoft_phi-2",microsoft/phi-2,legalbench,generation,-
845,"legalbench:subset=abercrombie,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,legalbench,generation,-
846,"legalbench:subset=corporate_lobbying,model=microsoft_phi-2",microsoft/phi-2,legalbench,generation,-
847,"legalbench:subset=corporate_lobbying,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,legalbench,generation,-
848,"legalbench:subset=function_of_decision_section,model=microsoft_phi-2",microsoft/phi-2,legalbench,generation,-
849,"legalbench:subset=function_of_decision_section,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,legalbench,generation,-
850,"legalbench:subset=international_citizenship_questions,model=microsoft_phi-2",microsoft/phi-2,legalbench,generation,-
851,"legalbench:subset=international_citizenship_questions,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,legalbench,generation,-
852,"legalbench:subset=proa,model=microsoft_phi-2",microsoft/phi-2,legalbench,generation,-
853,"legalbench:subset=proa,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,legalbench,generation,-
854,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,algebra
855,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,algebra
856,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,counting_and_probability
857,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,counting_and_probability
858,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,geometry
859,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,geometry
860,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,intermediate_algebra
861,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,intermediate_algebra
862,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,number_theory
863,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,number_theory
864,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,prealgebra
865,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,prealgebra
866,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-2",microsoft/phi-2,math_chain_of_thought,generation,precalculus
867,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,math_chain_of_thought,generation,precalculus
868,med_qa:model=microsoft_phi-2,microsoft/phi-2,med_qa,multiple_choice_joint,-
869,med_qa:model=mistralai_mistral-medium-2312,mistralai/mistral-medium-2312,med_qa,multiple_choice_joint,-
870,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,mmlu,multiple_choice_joint,abstract_algebra
871,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,mmlu,multiple_choice_joint,abstract_algebra
872,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,mmlu,multiple_choice_joint,college_chemistry
873,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,mmlu,multiple_choice_joint,college_chemistry
